"studentId","name","surname","birthdate","gender","class","point"
"85","Miller","Wilkinson","2000-11-24","M","9A","411"
"86","Adley","Collins","2001-09-14","F","9E","371"
"87","Nelson","Harrison","2001-06-04","M","10E","552"
"88","Daisy","Taylor","2000-06-15","F","9A","732"
"89","Lewis","Young","1999-03-14","M","11A","551"
"90","Moore","Brown","1999-11-30","M","12C","866"
"91","Colton","Ward","1999-11-19","M","12D","756"
"92","Harvey","Hill","1999-11-15","M","12C","935"
"93","Kaden","Lee","2001-04-18","M","9D","247"
"94","Walker","Hall","1999-03-17","M","11B","175"
"95","Preston","White","2000-03-06","M","12B","278"
"96","Walker","Green","2001-01-01","M","9D","117"
"97","Brooklynn","Carter","2000-04-17","F","9C","377"
"98","Brennan","King","2000-11-05","M","10E","500"
"99","James","Watson","2000-07-13","M","11C","738"
"100","Drake","Gray","2001-04-28","M","12D","811"
"101","Aduddell","Thompson","1999-04-29","F","10A","753"
"102","Randy","Wright","2000-07-22","M","9B","444"
"103","Albert","Adams","2001-08-25","F","9B","420"
"104","Albert","Gray","1999-03-02","F","12A","973"
"105","Jo","Adams","1999-02-06","F","12D","476"
"106","Raymond","Turner","1999-07-02","M","10B","412"
"107","Haven","Jackson","2001-08-20","F","12B","341"
"108","Rae","Hill","1999-08-14","F","10D","251"
"109","Phillips","Wilkinson","2001-08-25","M","9E","976"
"110","Nelson","Bell","2001-08-19","M","11D","567"
"111","Alday","Wright","1999-08-30","F","12C","894"
"112","Cade","Bailey","2000-11-06","M","11D","110"
"113","Ackerly","Anderson","2001-06-04","F","10D","248"
"114","Cody","Brown","2000-07-20","M","11C","967"
"115","Addington","Richardson","2000-10-06","F","12B","692"
"116","Jennifer","Harrison","2000-10-13","F","12E","844"
"117","Payton","Carter","1999-07-30","F","10E","984"
"118","Rogers","Allen","1999-03-06","M","12E","927"
"119","Martin","Harrison","1999-09-03","M","9C","792"
"120","Abby","Green","2000-11-11","F","10D","590"
"121","Agar","Anderson","2001-05-30","F","12E","678"
"122","Denver","Richardson","2000-08-04","F","11B","502"
"123","Tanner","Parker","1999-11-30","M","9E","267"
"124","Audrey","Wood","2001-01-25","F","10D","118"
"125","Bell","Wilkinson","2000-03-24","M","10A","910"
"126","Kaelyn","Martin","1999-04-17","F","10C","3"
"127","Blake","Johnson","2001-04-28","F","10D","422"
"128","Hadley","Robinson","2001-06-23","F","10D","954"
"129","Weston","Cook","1999-07-11","M","12C","702"
"130","Jones","Harris","2001-04-25","M","11D","476"
"131","Gonzales","King","2001-01-12","M","10B","62"
"132","Reed","Johnson","2000-05-25","M","11D","439"
"133","Ackley","Wood","2001-05-09","F","11A","210"
"134","Abdon","Johnson","2000-08-18","F","10E","769"
"135","Hayden","Cook","2001-07-15","M","9B","368"
"136","Carter","Carter","1999-03-25","M","9D","656"
"137","Zac","Walker","1999-09-29","M","12E","597"
"138","Simmons","Shaw","2000-11-11","M","11C","444"
"139","Afton","Moore","1999-03-09","F","12C","62"
"140","Afton","Jackson","2000-11-04","F","10C","862"
"141","Rylan","Ward","1999-10-14","M","12B","580"
"142","Annie","Watson","1999-02-12","F","10C","975"
"143","Howard","Bell","2001-08-29","M","10B","344"
"144","Kim","Taylor","2001-05-17","F","10A","711"
"145","Garcia","Brown","1999-02-22","M","11C","451"
"146","Alcock","Jackson","2000-03-21","F","12D","952"
"147","Marley","Clarke","1999-06-04","F","12B","729"
"148","Brennan","Collins","1999-06-07","M","12C","639"
"149","Daisy","Wright","1999-11-02","F","10A","836"
"150","Alders","Clark","2000-08-18","F","9E","838"
"151","Hall","Marshall","2000-04-27","M","9D","212"
"152","Arabelle","Parker","2000-08-19","F","11B","41"
"153","Phillips","Green","2000-03-01","M","9B","489"
"154","Martinez","Adams","1999-06-17","M","10D","428"
"155","Alder","Turner","2001-04-15","F","12E","700"
"156","Richardson","Allen","2000-03-13","M","9B","652"
"157","Colt","Davis","2001-04-10","M","9A","302"
"158","Sally","Green","2000-04-21","F","11D","434"
"159","Ackroyd","Turner","2001-08-23","F","10D","523"
"160","Madyson","Baker","1999-08-24","F","9C","570"
"161","Robert","Ward","2000-05-16","M","9C","565"
"162","Harley","Baker","2000-06-30","F","11E","4"
"163","Adwell","Jackson","1999-08-15","F","12E","213"
"164","Barnes","Chapman","2000-12-16","M","9C","340"
"165","Amber","Chapman","1999-09-06","F","11B","383"
"166","Annie","Wright","2000-08-21","F","10E","345"
"167","Hailey","Young","2000-11-09","F","9A","638"
"168","Acey","Foster","2000-12-03","F","10E","102"
"169","Rylan","Martin","2001-08-26","M","10C","643"
"170","Aduddell","Clark","1999-10-30","F","12A","329"
"171","Walker","Martin","2001-03-02","M","10B","139"
"172","Abney","Turner","1999-02-23","F","12D","337"
"173","Leanna","Mitchell","1999-10-11","F","12C","551"
"174","Walker","Wright","2001-08-01","M","9A","288"
"175","Acors","Turner","2001-03-06","F","11C","82"
"176","Journey","Wood","2001-09-07","F","10A","491"
"177","Leslie","Cook","2001-07-04","F","12C","278"
"178","Acomb","Wilkinson","1999-12-05","F","10A","600"
"179","Cooper","Collins","2000-01-05","M","10E","848"
"180","Jolene","Martin","1999-10-26","F","10B","606"
"181","Weston","Carter","2000-03-04","M","10E","495"
"182","Drake","Bell","2000-11-22","M","11D","335"
"183","Hayes","Lee","2001-07-18","M","12B","474"
"184","Able","Bennett","2000-06-07","F","9B","243"
"185","Ackerman","Miller","2001-05-24","F","12E","530"
"186","Brooke","Smith","2001-07-11","F","10A","293"
"187","Leanna","Bell","2001-04-29","F","10E","682"
"188","Brooklyn","Smith","2001-04-24","F","11E","654"
"189","Kelly","Robinson","2001-05-28","M","12D","300"
"190","Ward","Bailey","2000-08-21","M","11E","61"
"191","Taylor","Hill","2000-06-11","M","10E","645"
"192","Winter","Cooper","1999-07-07","F","10C","82"
"193","Madisyn","Baker","2001-08-21","F","9C","906"
"194","Cody","Wilkinson","2001-05-17","M","12E","525"
"195","Lewis","Turner","2001-03-11","M","9B","437"
"196","Edison","Johnson","1999-05-16","M","9A","330"
"197","Foster","Cook","2001-07-03","M","11D","520"
"198","Colby","Hill","1999-01-12","M","11C","958"
"199","Londyn","Turner","1999-01-28","F","10B","486"
"200","Addy","Cook","2001-09-06","F","10A","642"
"201","Acey","Adams","2001-04-20","F","10D","102"
"202","Payton","Shaw","1999-05-25","F","11C","10"
"203","Jagger","Collins","2000-09-04","M","9E","426"
"204","Diaz","Davis","1999-05-08","M","12D","787"
"205","Colt","Hall","2000-10-22","M","12B","824"
"206","Arthur","Jackson","2001-06-08","M","11B","851"
"207","Jenny","Wright","2001-08-06","F","9B","744"
"208","Hadleigh","Brown","2001-02-21","F","10D","931"
"209","Wren","Clarke","2000-10-21","F","12B","101"
"210","Brooklynn","Chapman","2000-02-09","F","11C","505"
"211","Farrah","Anderson","2000-11-10","F","12A","671"
"212","Cooper","Bailey","2000-09-13","M","11B","431"
"213","Alban","Bailey","2000-08-13","F","12E","908"
"214","Jenny","Marshall","2001-08-31","F","10E","171"
"215","Acres","Johnson","1999-02-07","F","12E","456"
"216","Tyler","Bennett","2001-03-26","M","12B","121"
"217","Blake","Wilkinson","2001-03-22","F","9D","166"
"218","Airington","Mitchell","2000-09-07","F","12B","336"
"219","Alders","Smith","2001-07-09","F","10A","353"
"220","Eddie","King","1999-08-01","M","11E","83"
"221","Acreman","Chapman","2000-04-30","F","12E","976"
"222","Butler","Taylor","1999-01-27","M","11A","173"
"223","Kelsie","Cox","1999-10-15","F","10A","384"
"224","Brown","Davis","2000-10-18","M","9E","122"
"225","Sanchez","White","2000-01-07","M","11B","968"
"226","Nelson","Young","2001-02-03","M","12B","764"
"227","Waylon","Martin","1999-09-02","M","9B","385"
"228","Haley","Lee","2000-05-16","F","11D","746"
"229","Long","Adams","1999-05-17","M","9E","624"
"230","Bryson","Wilkinson","2000-03-04","M","9B","529"
"231","Colby","Hill","2000-01-17","M","12C","434"
"232","Piper","Corbyn","2001-06-21","F","11E","347"
"233","Braden","Bell","2001-03-20","M","9C","686"
"234","Harvey","Wood","1999-09-18","M","11B","99"
"235","Hadleigh","Hall","2001-06-17","F","11C","605"
"236","Ford","Carter","1999-11-08","M","9D","567"
"237","Acors","Anderson","1999-02-16","F","10B","590"
"238","Airington","Moore","2000-10-31","F","10E","849"
"239","Harley","Richardson","2001-06-30","F","12C","41"
"240","Cade","Bailey","2000-01-01","M","9C","764"
"241","Raymond","Martin","2001-05-03","M","11C","237"
"242","Isabell","White","1999-12-20","F","10E","442"
"243","Eddie","Lee","1999-02-18","M","9C","917"
"244","Tucker","Robinson","2001-03-24","M","12E","594"
"245","Alden","Jackson","2000-11-03","F","9D","521"
"246","Adams","Richardson","1999-07-08","F","12C","383"
"247","Rivera","Watson","2000-08-04","M","12A","973"
"248","Adrian","Clarke","2000-10-15","F","10E","584"
"249","Adney","Ward","2000-09-24","F","11A","435"
"250","Hailey","Gray","2001-09-03","F","12D","135"
"251","Ady","Anderson","2000-08-05","F","11D","811"
"252","Madyson","Hall","2000-06-25","F","9C","465"
"253","Wilson","Cooper","2000-08-12","M","9A","273"
"254","Weston","Chapman","1999-06-08","M","12E","111"
"255","Evans","Robinson","2000-09-26","M","9C","60"
"256","Gonzales","Cook","1999-11-21","M","12A","427"
"257","Audrey","Allen","2000-09-05","F","9A","52"
"258","Willow","Bell","2000-11-29","F","9E","948"
"259","Alders","Cox","1999-12-08","F","10E","570"
"260","Essence","Bennett","2000-11-22","F","12C","240"
"261","Marley","Shaw","2001-08-06","F","10A","914"
"262","Addy","Taylor","2001-02-17","F","10D","260"
"263","Rivera","Moore","2000-04-25","M","12B","327"
"264","Rogers","Taylor","2001-06-19","M","9C","587"
"265","Lawson","Young","1999-10-02","M","11D","87"
"266","Maddison","Thompson","1999-08-01","F","12C","609"
"267","Alden","Collins","2000-11-03","M","9D","647"
"268","Ackland","Baker","2000-01-21","F","12C","290"
"269","Ashley","Robinson","1999-01-30","F","12E","627"
"270","Daxton","Clarke","2000-05-21","M","10B","296"
"271","Addington","Turner","2001-01-13","F","12A","972"
"272","Addie","Harris","2001-04-24","F","12C","882"
"273","Hayes","Wright","2001-03-27","M","9D","664"
"274","Long","Wright","1999-03-19","M","10D","699"
"275","Haven","Richardson","2001-03-25","F","9E","956"
"276","Alexander","Turner","1999-04-23","M","12E","615"
"277","Taylor","Green","1999-07-25","M","9B","408"
"278","Harlee","Chapman","1999-10-02","F","10A","482"
"279","Joyce","Chapman","2001-04-06","F","12E","714"
"280","Edwin","Moore","2001-06-20","M","11A","259"
"281","Hadley","Moore","2001-05-02","F","12C","887"
"282","Heaven","Hall","2000-07-18","F","11D","117"
"283","Ady","Anderson","2000-08-18","F","10D","649"
"284","Marley","Gray","1999-12-19","F","9D","880"
"285","Watson","Chapman","1999-10-29","M","9C","742"
"286","Agate","Ward","2001-01-29","F","11E","862"
"287","Arthur","Green","2000-02-01","M","12C","937"
"288","Rae","Harrison","2000-12-16","F","9E","129"
"289","Alder","Parker","1999-07-26","F","10D","51"
"290","Landon","Lee","2000-08-21","M","9D","156"
"291","Addison","Wilkinson","2000-02-26","M","12D","469"
"292","Abrahams","Bailey","2001-05-12","F","9C","200"
"293","Acomb","Marshall","2000-01-28","F","11E","570"
"294","Hadleigh","Clarke","2000-12-16","F","12D","564"
"295","Jolene","Chapman","2000-04-15","F","9A","630"
"296","Chance","Watson","2000-03-26","M","10B","605"
"297","Ramirez","Cook","2000-07-01","M","9A","140"
"298","Akers","Hall","1999-06-29","F","9E","496"
"299","Afton","Moore","2001-01-01","F","11D","146"
"300","Parker","Baker","2001-08-11","M","12B","711"
"301","Hollie","Walker","1999-11-18","F","11D","31"
"302","Davis","Harrison","2000-11-04","M","9E","28"
"303","Hailee","Allen","1999-09-11","F","10B","653"
"304","Perez","King","2001-02-01","M","9D","407"
"305","Albury","Bennett","2000-01-22","F","9A","161"
"306","Ella","Bell","2001-07-10","F","9D","708"
"307","Madison","Brown","1999-10-08","F","12E","382"
"308","Wright","Anderson","2000-06-03","M","12E","539"
"309","Payton","Parker","2000-07-04","F","9E","76"
"310","Aguillard","Smith","1999-01-08","F","11D","915"
"311","Brooke","Carter","2001-04-20","F","11A","770"
"312","Tate","Baker","2000-05-11","M","11A","201"
"313","Boston","Moore","2001-09-11","M","11D","879"
"314","Finley","Hill","2000-03-02","M","9B","73"
"315","Wayne","White","1999-09-14","M","11A","803"
"316","Reed","Hill","1999-08-05","M","12C","158"
"317","Iva","Anderson","1999-11-23","F","10D","475"
"318","Nelson","Bell","1999-06-10","M","11C","481"
"319","Cooper","Taylor","1999-06-09","M","11E","266"
"320","Marlee","Chapman","1999-01-14","F","9C","228"
"321","Colson","Smith","2001-09-19","M","12C","305"
"322","Scott","Hill","2001-08-04","M","9D","273"
"323","Scott","Carter","2000-10-24","M","12D","997"
"324","Queen","Brown","2001-02-27","F","11C","402"
"325","Albert","Cooper","1999-11-12","F","12E","203"
"326","Campbell","Turner","2000-05-18","M","9E","448"
"327","Braden","Davis","2000-08-29","M","10B","616"
"328","Lee","Turner","2001-05-19","M","10E","509"
"329","Joyce","Corbyn","2001-08-21","F","10B","726"
"330","Landon","King","1999-10-10","M","11C","697"
"331","Kimberly","Young","2001-06-30","F","12C","724"
"332","Acomb","Harris","1999-11-27","F","9D","999"
"333","Tyler","Carter","2000-03-28","F","12B","850"
"334","Henderson","Jackson","1999-10-29","M","9A","303"
"335","Adwell","Turner","1999-01-23","F","10D","191"
"336","Ainsworth","King","2000-08-12","F","9C","899"
"337","Summer","Ward","1999-01-22","F","9A","273"
"338","Edgar","Carter","1999-11-02","M","11D","948"
"339","Abdon","Corbyn","1999-04-11","F","12D","310"
"340","Jo","Jackson","2000-02-28","F","11E","731"
"341","Stanley","Marshall","2000-04-20","M","11B","199"
"342","Raymond","Foster","2000-04-16","M","12C","96"
"343","Acomb","Cooper","1999-12-07","F","10D","583"
"344","Agate","Foster","2001-03-07","F","12A","175"
"345","Tatum","Hall","1999-08-06","F","12A","171"
"346","Kailynn","Gray","2000-08-06","F","12A","131"
"347","Hadley","Smith","1999-05-28","M","10C","717"
"348","Denver","Harris","1999-05-04","F","9E","717"
"349","Dalton","Carter","2000-01-08","M","10B","278"
"350","Sadie","Marshall","1999-10-22","F","11B","797"
"351","Hayes","Martin","2000-08-19","M","11B","572"
"352","Amber","Hill","1999-06-19","F","11E","460"
"353","Washington","Gray","2001-03-08","M","10C","968"
"354","Brennan","Carter","1999-09-29","M","9E","213"
"355","Wesley","Richardson","2001-02-24","M","11C","110"
"356","Abbott","Bailey","2000-11-14","F","9B","186"
"357","Jenkins","Bennett","2001-07-29","M","9D","506"
"358","Agers","Richardson","1999-08-16","F","10A","323"
"359","Farrah","Turner","2001-04-22","F","10C","887"
"360","Adcock","Robinson","1999-07-21","F","12A","306"
"361","Dana","Marshall","1999-11-15","F","11C","365"
"362","Joyce","Allen","1999-08-09","F","11E","635"
"363","Essence","Green","2001-04-17","F","12C","894"
"364","Adgate","Clarke","2001-05-07","F","9E","708"
"365","Diaz","Wright","1999-10-17","M","9C","21"
"366","Thomas","Parker","2000-01-15","M","10D","641"
"367","Russell","Jackson","2000-08-05","M","11C","957"
"368","Moore","Baker","2001-09-11","M","9D","861"
"369","Beverly","Shaw","1999-08-09","F","10E","447"
"370","Nash","Collins","2000-04-23","M","10A","678"
"371","Howard","Hill","1999-02-21","M","12C","583"
"372","Ackroyd","Adams","2000-05-15","F","12D","140"
"373","Ainsley","Carter","1999-12-30","F","9C","155"
"374","Rylie","Taylor","2001-03-26","F","12A","109"
"375","Ackerley","Mitchell","1999-10-30","F","10D","638"
"376","Albert","Johnson","2000-01-27","F","12E","896"
"377","Albin","Shaw","2001-02-23","F","11E","737"
"378","Dev","Chapman","2000-07-02","M","10D","14"
"379","Ackroyd","Watson","2001-09-20","F","11C","276"
"380","Brooklyn","Chapman","1999-02-01","F","9E","745"
"381","Hunter","Taylor","2000-09-17","M","10D","883"
"382","Ackerley","Adams","2001-06-03","F","11C","245"
"383","Acors","Walker","2000-11-12","F","12B","95"
"384","Stanley","Thompson","2001-01-16","M","11E","794"
"385","Watson","Miller","2000-06-05","M","11A","465"
"386","Madyson","Wright","2000-04-08","F","12D","466"
"387","Green","Bell","2000-02-06","M","11C","35"
"388","Roberts","Wright","2000-03-18","M","12C","935"
"389","Zac","Mitchell","2000-05-30","M","9D","536"
"390","Taylor","Watson","2000-08-25","F","10B","586"
"391","Agate","Harrison","1999-12-21","F","12B","894"
"392","Ronald","Foster","2000-04-16","M","12B","489"
"393","Akehurst","Taylor","1999-04-27","F","12E","559"
"394","Peterson","Martin","2001-04-03","M","12D","166"
"395","Grayson","Gray","2000-10-22","M","12B","578"
"396","Jett","Clark","2001-05-25","M","11D","712"
"397","Tucker","Cook","1999-05-09","M","10D","6"
"398","Ainslie","Hall","1999-06-09","F","11E","915"
"399","Houston","Turner","2001-08-27","M","11E","807"
"400","Holly","White","2000-09-03","F","12A","761"
"401","Brooklyn","Wilkinson","2001-09-06","M","10B","223"
"402","Dax","Bailey","1999-05-15","M","11C","437"
"403","Hailee","Brown","2000-06-21","F","9A","309"
"404","Parker","Wright","2000-07-29","M","11C","902"
"405","Carter","Shaw","2000-09-21","M","11C","41"
"406","Dayton","Shaw","2000-06-03","M","9D","607"
"407","Sanchez","Martin","2001-03-12","M","9E","738"
"408","Jennifer","Parker","1999-07-15","F","10B","641"
"409","Wayne","Wilkinson","2001-05-13","M","11B","354"
"410","Gonzales","Taylor","2000-01-24","M","11C","522"
"411","Abby","Cook","2000-05-14","F","12A","167"
"412","Nellie","Harrison","1999-11-18","F","10A","77"
"413","Thompson","Wood","2000-03-31","M","9D","706"
"414","Sanders","Foster","2001-05-19","M","12B","39"
"415","Perry","Taylor","2000-08-28","M","11A","348"
"416","Dana","White","2001-02-12","F","11D","917"
"417","Leslie","Wright","1999-11-04","F","10E","572"
"418","Scarlet","Green","2000-04-15","F","12B","661"
"419","Ackerly","Martin","1999-01-17","F","11B","999"
"420","Hunter","Bennett","1999-12-26","M","9E","889"
"421","Paxton","Clark","2000-05-19","M","12D","186"
"422","Sterling","White","2001-03-28","M","9B","444"
"423","Brooke","Moore","2001-04-23","F","11B","641"
"424","Able","Moore","2000-11-08","F","9C","77"
"425","Harris","Shaw","2000-04-02","M","10C","521"
"426","Wesley","Harris","1999-10-21","M","12B","160"
"427","Teo","Corbyn","1999-12-23","M","9C","214"
"428","Afton","Clark","2001-05-29","F","11E","857"
"429","Ember","Robinson","2000-08-10","F","11B","899"
"430","Tyler","Wood","1999-04-10","F","12E","216"
"431","Royce","Turner","2000-12-25","M","9C","215"
"432","Brinley","King","1999-05-10","F","12C","861"
"433","Emerson","Johnson","2000-05-09","M","12E","803"
"434","Rodriguez","Martin","2001-06-18","M","12A","730"
"435","Scarlett","Parker","1999-02-09","F","12D","61"
"436","Abdon","Shaw","2000-12-11","F","10D","395"
"437","Akehurst","Corbyn","1999-10-23","F","11D","631"
"438","Brooks","King","1999-11-02","M","12D","761"
"439","Colson","Wilkinson","2000-10-30","M","11C","889"
"440","Jo","Thompson","2000-09-02","F","10E","878"
"441","Willow","Taylor","1999-05-10","F","10B","360"
"442","Taylor","Bell","2001-06-24","M","10E","254"
"443","Stewart","Moore","2001-03-29","M","10E","155"
"444","Jenna","Hill","2000-06-24","F","9D","184"
"445","Winter","Mitchell","1999-05-27","F","12E","260"
"446","Hayden","Baker","2000-12-31","M","9D","432"
"447","Crosby","Richardson","2000-12-26","M","11A","241"
"448","Adgate","Thompson","2001-09-13","F","10A","360"
"449","Wood","Wood","1999-04-17","M","9B","782"
"450","Abdon","Bell","2000-03-03","F","9B","728"
"451","Edgar","Jackson","2000-07-26","M","10A","732"
"452","Addy","Moore","2000-06-13","F","9B","138"
"453","Brown","White","1999-04-27","M","10D","25"
"454","Zachariah","Allen","2000-02-02","M","10D","770"
"455","Arabelle","Clark","2000-01-26","F","11B","785"
"456","Hughes","Bailey","2001-04-15","M","11E","993"
"457","Young","Adams","1999-09-28","M","10A","639"
"458","Hayden","Gray","2000-09-23","F","12D","697"
"459","Kailynn","Corbyn","2001-08-25","F","9E","644"
"460","Martin","Adams","1999-02-10","M","10E","118"
"461","Jackson","Hall","1999-01-14","M","12B","607"
"462","Pyper","Turner","1999-01-23","F","11B","674"
"463","Acors","Foster","2000-04-10","F","11D","799"
"464","Peterson","Cooper","1999-07-16","M","11B","999"
"465","Journey","Lee","1999-06-25","F","11A","686"
"466","Hollie","Davis","1999-11-12","F","11B","962"
"467","Johnson","Lee","2000-03-27","M","11A","981"
"468","Boston","Harrison","2001-04-29","M","12D","324"
"469","Bryant","Davis","1999-10-30","M","12A","576"
"470","Marlee","Parker","2000-08-14","F","9E","619"
"471","Landen","Green","2000-04-21","M","9D","841"
"472","Brinley","Hill","1999-07-02","F","12A","237"
"473","Harrison","Shaw","1999-05-01","M","9D","436"
"474","Pyper","Marshall","2000-03-09","F","10B","199"
"475","Emmett","Foster","1999-04-09","M","12C","902"
"476","Stewart","Anderson","2001-07-10","M","11C","295"
"477","Tate","Collins","1999-07-08","M","11B","38"
"478","Kingston","Wright","2000-04-10","M","11E","416"
"479","Abbitt","Harris","2000-07-29","F","9E","243"
"480","Arthur","Corbyn","2000-05-11","M","10C","525"
"481","Ashton","Carter","1999-01-20","M","11C","224"
"482","Jo","King","1999-12-23","F","11D","687"
"483","Akehurst","Shaw","1999-03-17","F","11A","98"
"484","Acors","Clarke","2000-11-15","F","11E","606"
"485","Ace","Collins","2001-03-26","F","9E","638"
"486","Marley","Jackson","2001-08-27","F","10E","528"
"487","Haley","Cox","2000-06-02","F","10B","10"
"488","Cook","Wilkinson","1999-04-08","M","10E","564"
"489","Harvey","Shaw","1999-12-17","M","11E","929"
"490","Aiton","White","2000-12-23","F","9E","880"
"491","Gray","Cooper","1999-12-31","M","11C","286"
"492","Harper","Parker","1999-01-24","M","10D","87"
"493","Colten","Harrison","2001-03-27","M","11D","977"
"494","Colt","Adams","2001-06-24","M","9C","389"
"495","Brooke","Davis","2001-04-29","F","12D","77"
"496","Walker","Mitchell","1999-12-19","M","12B","967"
"497","Hunter","Carter","2001-09-01","M","10B","945"
"498","Garcia","Richardson","2000-03-08","M","11C","9"
"499","Patterson","Young","1999-07-03","M","12E","618"
"500","Russell","Wright","2000-04-10","M","10A","583"
"501","Bailey","Chapman","2000-03-21","M","11B","148"
"502","Keaton","Watson","1999-03-22","M","11D","203"
"503","Dev","Baker","2000-02-03","M","11C","231"
"504","Thompson","Wright","2001-07-22","M","11B","334"
"505","Collins","Bailey","2001-09-11","M","11E","966"
